Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",0805,3,100nF,
D1,LED_D3.0mm_FlatTop,1,GREEN,
"J1, J2, J3, J4",JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,4,Conn_01x03_Socket,
"J10, J11, J8, J9",JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,4,Conn_01x05_Socket,
"J12, J13, J14",JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical,3,Conn_01x06_Socket,
"J5, J6, J7",JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,3,Conn_01x04_Socket,
"R1, R18, R2, R47, R54",0805,5,10K,
"R10, R11, R12, R13, R14, R15, R16, R17, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R3, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R4, R40, R41, R42, R43, R44, R45, R46, R48, R49, R5, R50, R51, R52, R53, R6, R7, R8, R9",0805,49,1K,
U1,MCU_Seeed_ESP32C3,1,~,
"U2, U3, U4",TSSOP-28_4.4x9.7mm_P0.65mm,3,PCA9685PW,
