Designator,Mid X,Mid Y,Rotation,Layer
C1,136.55,-52.5,0.0,top
C2,150.55,-52.5,0.0,top
C3,167.05,-52.5,0.0,top
D1,139.0,-32.0,270.0,top
H1,102.0,-25.5,0.0,top
H2,190.5,-25.5,0.0,top
H3,102.0,-82.5,0.0,top
H4,190.5,-82.5,0.0,top
J1,105.0,-58.0,0.0,top
J10,137.5,-40.5,0.0,top
J11,166.0,-42.0,0.0,top
J12,184.75,-33.5,0.0,top
J13,183.25,-49.5,0.0,top
J14,184.25,-72.5,0.0,top
J2,120.0,-58.0,0.0,top
J3,105.0,-72.0,0.0,top
J4,120.0,-72.0,0.0,top
J5,137.25,-72.5,0.0,top
J6,152.25,-72.5,0.0,top
J7,166.75,-72.5,0.0,top
J8,151.5,-25.5,0.0,top
J9,167.5,-25.5,0.0,top
R1,101.5,-44.4125,90.0,top
R10,112.5875,-62.0,0.0,top
R11,127.5875,-62.0,0.0,top
R12,143.0,-66.5875,90.0,top
R13,156.5,-67.5875,90.0,top
R14,170.0,-67.4125,90.0,top
R15,139.5,-66.5875,90.0,top
R16,153.0,-66.5875,90.0,top
R17,165.0,-67.5875,90.0,top
R18,141.205,-55.975,0.0,top
R19,134.5,-66.5,270.0,top
R2,105.0,-44.4125,270.0,top
R20,148.5,-67.5875,270.0,top
R21,161.5,-67.5875,270.0,top
R22,155.0,-31.4125,270.0,top
R23,171.0,-31.4125,270.0,top
R24,151.5,-31.4125,270.0,top
R25,167.5,-31.4125,270.0,top
R26,149.5,-31.4125,90.0,top
R27,165.5,-31.4125,90.0,top
R28,146.0,-31.4125,90.0,top
R29,162.0,-31.4125,90.0,top
R3,112.4125,-54.0,0.0,top
R30,142.5,-50.5875,270.0,top
R31,170.0,-47.9125,270.0,top
R32,143.0,-46.0875,270.0,top
R33,164.0,-48.5,270.0,top
R34,141.0,-46.0875,90.0,top
R35,158.0,-49.4125,90.0,top
R36,137.5,-46.0875,90.0,top
R37,154.5,-47.9125,90.0,top
R38,190.0,-40.4125,270.0,top
R39,190.0,-55.4125,270.0,top
R4,127.5,-58.5,0.0,top
R40,191.5,-66.4125,90.0,top
R41,186.5,-40.4125,270.0,top
R42,186.5,-55.4125,270.0,top
R43,188.0,-66.4125,90.0,top
R44,184.5,-40.4125,90.0,top
R45,184.5,-55.4125,90.0,top
R46,183.5,-66.5,270.0,top
R47,156.5,-56.0,0.0,top
R48,181.0,-40.4125,90.0,top
R49,181.0,-55.4125,90.0,top
R5,112.4125,-50.5,0.0,top
R50,180.0,-66.5,270.0,top
R51,177.5,-40.4125,90.0,top
R52,177.5,-55.4125,90.0,top
R53,176.6,-66.5,270.0,top
R54,173.0,-56.0,0.0,top
R6,127.5,-56.5,0.0,top
R7,134.0,-33.5,0.0,top
R8,112.5875,-65.5,0.0,top
R9,127.5875,-65.5,0.0,top
U1,118.4,-37.4,0.0,top
U2,134.1375,-59.0,270.0,top
U3,148.8625,-58.925,270.0,top
U4,165.1375,-59.075,270.0,top
